"시점",청주시,청원군
"시점",총인구수 (명),총인구수 (명)
"1992",471118,120070
"1993",489033,119549
"1994",504221,117871
"1995",519072,117560
"1996",530836,119843
"1997",544115,121794
"1998",557405,123385
"1999",569072,122922
"2000",580861,123984
"2001",592504,124181
"2002",603941,122782
"2003",615155,121235
"2004",624288,119745
"2005",630939,119784
"2006",626679,136538
"2007",633286,143021
"2008",638663,148063
"2009",643161,149783
"2010",655971,152944
"2011",661946,158369
"2012",666852,154780
"2013",672904,155002
"2014",831521,-
"2015",831912,-
"2016",835197,-
"2017",835590,-
"2018",837749,-
"2019",839566,-
"2020",844993,-
"2021",848482,-
"2022",849573,-
"2023",852189,-
"2024",854537,-
"2025",856152,-
